company_id,year,previous_pattern,new_pattern
HEROMOTOCO,2015,REINVESTOR,SHAREHOLDER_RETURNS
HEROMOTOCO,2016,SHAREHOLDER_RETURNS,REINVESTOR
HEROMOTOCO,2019,REINVESTOR,SHAREHOLDER_RETURNS
HEROMOTOCO,2020,SHAREHOLDER_RETURNS,REINVESTOR
HINDALCO,2015,GROWTH_FINANCING,REINVESTOR
HINDALCO,2018,REINVESTOR,SHAREHOLDER_RETURNS
HINDALCO,2019,SHAREHOLDER_RETURNS,REINVESTOR
HINDALCO,2020,REINVESTOR,GROWTH_FINANCING
HINDALCO,2021,GROWTH_FINANCING,REINVESTOR
HINDUNILVR,2014,SHAREHOLDER_RETURNS,REINVESTOR
HINDUNILVR,2015,REINVESTOR,SHAREHOLDER_RETURNS
HINDUNILVR,2016,SHAREHOLDER_RETURNS,REINVESTOR
HINDUNILVR,2020,REINVESTOR,SHAREHOLDER_RETURNS
HINDUNILVR,2021,SHAREHOLDER_RETURNS,REINVESTOR
ICICIBANK,2015,GROWTH_FINANCING,DISTRESS
ICICIBANK,2016,DISTRESS,GROWTH_FINANCING
ICICIBANK,2017,GROWTH_FINANCING,REINVESTOR
ICICIBANK,2018,REINVESTOR,GROWTH_FINANCING
ICICIBANK,2019,GROWTH_FINANCING,REINVESTOR
ICICIBANK,2020,REINVESTOR,GROWTH_FINANCING
ICICIBANK,2021,GROWTH_FINANCING,REINVESTOR
ICICIBANK,2022,REINVESTOR,GROWTH_FINANCING
ICICIBANK,2023,GROWTH_FINANCING,DISTRESS
ICICIBANK,2024,DISTRESS,GROWTH_FINANCING
ICICIGI,2015,GROWTH_FINANCING,ASSET_LIQUIDATION
ICICIGI,2016,ASSET_LIQUIDATION,REINVESTOR
ICICIGI,2017,REINVESTOR,GROWTH_FINANCING
ICICIGI,2018,GROWTH_FINANCING,REINVESTOR
ICICIGI,2022,REINVESTOR,SHAREHOLDER_RETURNS
ICICIGI,2023,SHAREHOLDER_RETURNS,REINVESTOR
ICICIPRULI,2015,ASSET_LIQUIDATION,REINVESTOR
ICICIPRULI,2016,REINVESTOR,SHAREHOLDER_RETURNS
ICICIPRULI,2017,SHAREHOLDER_RETURNS,REINVESTOR
ICICIPRULI,2021,REINVESTOR,GROWTH_FINANCING
ICICIPRULI,2022,GROWTH_FINANCING,REINVESTOR
ICICIPRULI,2024,REINVESTOR,ASSET_LIQUIDATION
INDIGO,2015,GROWTH_FINANCING,REINVESTOR
INDIGO,2018,REINVESTOR,GROWTH_FINANCING
INDIGO,2019,GROWTH_FINANCING,REINVESTOR
INDIGO,2021,REINVESTOR,ASSET_LIQUIDATION
INDIGO,2022,ASSET_LIQUIDATION,SHAREHOLDER_RETURNS
INDIGO,2023,SHAREHOLDER_RETURNS,REINVESTOR
INDUSINDBK,2017,DISTRESS,REINVESTOR
INDUSINDBK,2018,REINVESTOR,DISTRESS
INDUSINDBK,2020,DISTRESS,EXTERNAL_FUNDING
INDUSINDBK,2021,EXTERNAL_FUNDING,REINVESTOR
INDUSINDBK,2023,REINVESTOR,DISTRESS
INDUSINDBK,2024,DISTRESS,CASH_BURN
INFY,2015,REINVESTOR,SHAREHOLDER_RETURNS
INFY,2016,SHAREHOLDER_RETURNS,REINVESTOR
INFY,2018,REINVESTOR,SHAREHOLDER_RETURNS
INFY,2019,SHAREHOLDER_RETURNS,REINVESTOR
IOC,2014,GROWTH_FINANCING,REINVESTOR
IOC,2019,REINVESTOR,GROWTH_FINANCING
IOC,2021,GROWTH_FINANCING,REINVESTOR
IRCTC,2016,REINVESTOR,SHAREHOLDER_RETURNS
IRCTC,2019,SHAREHOLDER_RETURNS,REINVESTOR
IRCTC,2020,REINVESTOR,SHAREHOLDER_RETURNS
IRCTC,2021,SHAREHOLDER_RETURNS,REINVESTOR
IRFC,2022,EXTERNAL_FUNDING,DISTRESS
IRFC,2023,DISTRESS,EXTERNAL_FUNDING
IRFC,2024,EXTERNAL_FUNDING,REINVESTOR
ITC,2021,REINVESTOR,SHAREHOLDER_RETURNS
ITC,2022,SHAREHOLDER_RETURNS,REINVESTOR
ITC,2024,REINVESTOR,SHAREHOLDER_RETURNS
JINDALSTEL,2016,GROWTH_FINANCING,REINVESTOR
JINDALSTEL,2024,REINVESTOR,GROWTH_FINANCING
JIOFIN,2024,REINVESTOR,ASSET_LIQUIDATION
JSWENERGY,2020,REINVESTOR,SHAREHOLDER_RETURNS
JSWENERGY,2021,SHAREHOLDER_RETURNS,REINVESTOR
JSWENERGY,2023,REINVESTOR,GROWTH_FINANCING
JSWSTEEL,2014,REINVESTOR,GROWTH_FINANCING
JSWSTEEL,2015,GROWTH_FINANCING,REINVESTOR
JSWSTEEL,2019,REINVESTOR,GROWTH_FINANCING
JSWSTEEL,2021,GROWTH_FINANCING,REINVESTOR
KOTAKBANK,2014,GROWTH_FINANCING,REINVESTOR
KOTAKBANK,2015,REINVESTOR,GROWTH_FINANCING
KOTAKBANK,2018,GROWTH_FINANCING,DISTRESS
KOTAKBANK,2019,DISTRESS,GROWTH_FINANCING
KOTAKBANK,2020,GROWTH_FINANCING,REINVESTOR
KOTAKBANK,2022,REINVESTOR,GROWTH_FINANCING
KOTAKBANK,2023,GROWTH_FINANCING,DISTRESS
KOTAKBANK,2024,DISTRESS,GROWTH_FINANCING
LICI,2020,SHAREHOLDER_RETURNS,REINVESTOR
LICI,2021,REINVESTOR,SHAREHOLDER_RETURNS
LICI,2022,SHAREHOLDER_RETURNS,EXTERNAL_FUNDING
LICI,2023,EXTERNAL_FUNDING,REINVESTOR
LODHA,2017,GROWTH_FINANCING,REINVESTOR
LODHA,2018,REINVESTOR,GROWTH_FINANCING
LODHA,2019,GROWTH_FINANCING,DISTRESS
LODHA,2020,DISTRESS,SHAREHOLDER_RETURNS
LODHA,2024,SHAREHOLDER_RETURNS,GROWTH_FINANCING
LT,2017,DISTRESS,GROWTH_FINANCING
LT,2018,GROWTH_FINANCING,EXTERNAL_FUNDING
LT,2019,EXTERNAL_FUNDING,DISTRESS
LT,2020,DISTRESS,GROWTH_FINANCING
LT,2021,GROWTH_FINANCING,REINVESTOR
LT,2024,REINVESTOR,SHAREHOLDER_RETURNS
LTIM,2014,REINVESTOR,SHAREHOLDER_RETURNS
LTIM,2015,SHAREHOLDER_RETURNS,REINVESTOR
M&M,2015,DISTRESS,GROWTH_FINANCING
M&M,2019,GROWTH_FINANCING,DISTRESS
M&M,2021,DISTRESS,GROWTH_FINANCING
M&M,2022,GROWTH_FINANCING,REINVESTOR
M&M,2023,REINVESTOR,DISTRESS
MOTHERSON,2015,REINVESTOR,GROWTH_FINANCING
MOTHERSON,2016,GROWTH_FINANCING,REINVESTOR
MOTHERSON,2017,REINVESTOR,GROWTH_FINANCING
MOTHERSON,2018,GROWTH_FINANCING,REINVESTOR
MOTHERSON,2024,REINVESTOR,GROWTH_FINANCING
NAUKRI,2014,REINVESTOR,GROWTH_FINANCING
NAUKRI,2016,GROWTH_FINANCING,REINVESTOR
NAUKRI,2020,REINVESTOR,SHAREHOLDER_RETURNS
NAUKRI,2021,SHAREHOLDER_RETURNS,GROWTH_FINANCING
NESTLEIND,2019,REINVESTOR,SHAREHOLDER_RETURNS
NESTLEIND,2020,SHAREHOLDER_RETURNS,REINVESTOR
NHPC,2020,REINVESTOR,GROWTH_FINANCING
NHPC,2021,GROWTH_FINANCING,REINVESTOR
NTPC,2014,GROWTH_FINANCING,REINVESTOR
NTPC,2017,REINVESTOR,GROWTH_FINANCING
NTPC,2021,GROWTH_FINANCING,REINVESTOR
ONGC,2014,REINVESTOR,GROWTH_FINANCING
ONGC,2015,GROWTH_FINANCING,REINVESTOR
ONGC,2018,REINVESTOR,GROWTH_FINANCING
ONGC,2019,GROWTH_FINANCING,REINVESTOR
PFC,2015,EXTERNAL_FUNDING,DISTRESS
PFC,2017,DISTRESS,GROWTH_FINANCING
PFC,2018,GROWTH_FINANCING,EXTERNAL_FUNDING
PFC,2019,EXTERNAL_FUNDING,DISTRESS
PFC,2021,DISTRESS,EXTERNAL_FUNDING
PFC,2022,EXTERNAL_FUNDING,REINVESTOR
PFC,2023,REINVESTOR,DISTRESS
PIDILITIND,2017,REINVESTOR,GROWTH_FINANCING
PIDILITIND,2018,GROWTH_FINANCING,SHAREHOLDER_RETURNS
PIDILITIND,2019,SHAREHOLDER_RETURNS,REINVESTOR
PIDILITIND,2020,REINVESTOR,SHAREHOLDER_RETURNS
PIDILITIND,2021,SHAREHOLDER_RETURNS,REINVESTOR
PNB,2014,CASH_BURN,GROWTH_FINANCING
PNB,2017,GROWTH_FINANCING,SHAREHOLDER_RETURNS
PNB,2018,SHAREHOLDER_RETURNS,EXTERNAL_FUNDING
PNB,2019,EXTERNAL_FUNDING,DISTRESS
PNB,2021,DISTRESS,GROWTH_FINANCING
PNB,2024,GROWTH_FINANCING,DISTRESS
POWERGRID,2019,GROWTH_FINANCING,REINVESTOR
POWERGRID,2022,REINVESTOR,SHAREHOLDER_RETURNS
POWERGRID,2023,SHAREHOLDER_RETURNS,REINVESTOR
RECLTD,2016,EXTERNAL_FUNDING,DISTRESS
RECLTD,2017,DISTRESS,REINVESTOR
RECLTD,2018,REINVESTOR,EXTERNAL_FUNDING
RECLTD,2022,EXTERNAL_FUNDING,DISTRESS
RELIANCE,2016,GROWTH_FINANCING,REINVESTOR
RELIANCE,2017,REINVESTOR,GROWTH_FINANCING
RELIANCE,2018,GROWTH_FINANCING,REINVESTOR
RELIANCE,2019,REINVESTOR,GROWTH_FINANCING
RELIANCE,2020,GROWTH_FINANCING,REINVESTOR
RELIANCE,2021,REINVESTOR,GROWTH_FINANCING
RELIANCE,2024,GROWTH_FINANCING,REINVESTOR
SBILIFE,2021,REINVESTOR,GROWTH_FINANCING
SBILIFE,2022,GROWTH_FINANCING,REINVESTOR
SBIN,2014,REINVESTOR,GROWTH_FINANCING
SBIN,2015,GROWTH_FINANCING,REINVESTOR
SBIN,2016,REINVESTOR,GROWTH_FINANCING
SBIN,2017,GROWTH_FINANCING,REINVESTOR
SBIN,2018,REINVESTOR,EXTERNAL_FUNDING
SBIN,2019,EXTERNAL_FUNDING,CASH_ACCUMULATION
SBIN,2020,CASH_ACCUMULATION,GROWTH_FINANCING
SBIN,2022,GROWTH_FINANCING,REINVESTOR
SBIN,2023,REINVESTOR,DISTRESS
SBIN,2024,DISTRESS,REINVESTOR
SHREECEM,2018,REINVESTOR,GROWTH_FINANCING
SHREECEM,2019,GROWTH_FINANCING,REINVESTOR
SHREECEM,2020,REINVESTOR,GROWTH_FINANCING
SHREECEM,2021,GROWTH_FINANCING,REINVESTOR
SHRIRAMFIN,2018,DISTRESS,EXTERNAL_FUNDING
SHRIRAMFIN,2019,EXTERNAL_FUNDING,DISTRESS
SHRIRAMFIN,2023,DISTRESS,EXTERNAL_FUNDING
SHRIRAMFIN,2024,EXTERNAL_FUNDING,DISTRESS
SIEMENS,2018,SHAREHOLDER_RETURNS,REINVESTOR
SIEMENS,2020,REINVESTOR,SHAREHOLDER_RETURNS
SIEMENS,2021,SHAREHOLDER_RETURNS,REINVESTOR
SUNPHARMA,2014,REINVESTOR,GROWTH_FINANCING
SUNPHARMA,2015,GROWTH_FINANCING,REINVESTOR
SUNPHARMA,2021,REINVESTOR,SHAREHOLDER_RETURNS
SUNPHARMA,2022,SHAREHOLDER_RETURNS,REINVESTOR
SUNPHARMA,2023,REINVESTOR,GROWTH_FINANCING
SUNPHARMA,2024,GROWTH_FINANCING,REINVESTOR
TATACONSUM,2014,CASH_ACCUMULATION,REINVESTOR
TATACONSUM,2016,REINVESTOR,SHAREHOLDER_RETURNS
TATACONSUM,2018,SHAREHOLDER_RETURNS,REINVESTOR
TATACONSUM,2019,REINVESTOR,SHAREHOLDER_RETURNS
TATACONSUM,2020,SHAREHOLDER_RETURNS,REINVESTOR
TATACONSUM,2024,REINVESTOR,GROWTH_FINANCING
TATAMOTORS,2015,REINVESTOR,GROWTH_FINANCING
TATAMOTORS,2016,GROWTH_FINANCING,REINVESTOR
TATAMOTORS,2017,REINVESTOR,GROWTH_FINANCING
TATAMOTORS,2022,GROWTH_FINANCING,REINVESTOR
TATAPOWER,2017,REINVESTOR,GROWTH_FINANCING
TATAPOWER,2018,GROWTH_FINANCING,REINVESTOR
TATAPOWER,2021,REINVESTOR,SHAREHOLDER_RETURNS
TATAPOWER,2022,SHAREHOLDER_RETURNS,REINVESTOR
TATAPOWER,2023,REINVESTOR,GROWTH_FINANCING
TATAPOWER,2024,GROWTH_FINANCING,REINVESTOR
TATASTEEL,2014,REINVESTOR,GROWTH_FINANCING
TATASTEEL,2015,GROWTH_FINANCING,REINVESTOR
